?SNDlib native format; type: network; version: 1.0
# network demandMatrix-germany50-DFN-1day-20050214

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 1day
  time  = 20050214
  unit  = MBITPERSEC
  origin  = DFN Verein http://www.dfn.de, German Research Network, measurements mapped to germany50
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Aachen ( 6.04 50.76 )
  Augsburg ( 10.90 48.33 )
  Bayreuth ( 11.59 49.93 )
  Berlin ( 13.39 52.52 )
  Bielefeld ( 8.50 52.04 )
  Braunschweig ( 10.55 52.28 )
  Bremen ( 8.85 53.11 )
  Bremerhaven ( 8.58 53.54 )
  Chemnitz ( 12.93 50.84 )
  Darmstadt ( 8.65 49.89 )
  Dortmund ( 7.45 51.51 )
  Dresden ( 13.73 51.03 )
  Duesseldorf ( 6.77 51.25 )
  Erfurt ( 11.04 50.98 )
  Essen ( 7.02 51.46 )
  Flensburg ( 9.45 54.77 )
  Frankfurt ( 8.71 50.12 )
  Freiburg ( 7.80 47.98 )
  Fulda ( 9.69 50.56 )
  Giessen ( 8.67 50.57 )
  Greifswald ( 13.40 54.09 )
  Hamburg ( 9.99 53.57 )
  Hannover ( 9.72 52.38 )
  Kaiserslautern ( 7.75 49.43 )
  Karlsruhe ( 8.41 49.01 )
  Kassel ( 9.51 51.32 )
  Kempten ( 10.32 47.72 )
  Kiel ( 10.12 54.34 )
  Koblenz ( 7.52 50.40 )
  Koeln ( 6.87 50.94 )
  Konstanz ( 9.18 47.66 )
  Leipzig ( 12.38 51.34 )
  Magdeburg ( 11.64 52.14 )
  Mannheim ( 8.49 49.49 )
  Muenchen ( 11.57 48.15 )
  Muenster ( 7.60 51.97 )
  Norden ( 7.21 53.60 )
  Nuernberg ( 11.03 49.57 )
  Oldenburg ( 8.21 53.11 )
  Osnabrueck ( 8.03 52.28 )
  Passau ( 13.46 48.57 )
  Regensburg ( 12.09 49.00 )
  Saarbruecken ( 7.03 49.23 )
  Schwerin ( 11.45 53.55 )
  Siegen ( 8.03 50.91 )
  Stuttgart ( 9.10 48.74 )
  Trier ( 6.68 49.75 )
  Ulm ( 9.99 48.40 )
  Wesel ( 6.37 51.39 )
  Wuerzburg ( 9.97 49.78 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  Bremen_Nuernberg ( Bremen Nuernberg ) 1 0.031608 UNLIMITED
  Hamburg_Wuerzburg ( Hamburg Wuerzburg ) 1 0.004126 UNLIMITED
  Kassel_Giessen ( Kassel Giessen ) 1 0.133356 UNLIMITED
  Wuerzburg_Schwerin ( Wuerzburg Schwerin ) 1 0.00236 UNLIMITED
  Regensburg_Magdeburg ( Regensburg Magdeburg ) 1 0.014654 UNLIMITED
  Muenchen_Hamburg ( Muenchen Hamburg ) 1 3.241697 UNLIMITED
  Frankfurt_Kaiserslautern ( Frankfurt Kaiserslautern ) 1 9.582459 UNLIMITED
  Bayreuth_Berlin ( Bayreuth Berlin ) 1 0.267346 UNLIMITED
  Magdeburg_Muenster ( Magdeburg Muenster ) 1 0.021637 UNLIMITED
  Erfurt_Norden ( Erfurt Norden ) 1 0.000038 UNLIMITED
  Magdeburg_Nuernberg ( Magdeburg Nuernberg ) 1 0.003427 UNLIMITED
  Osnabrueck_Bremen ( Osnabrueck Bremen ) 1 0.018867 UNLIMITED
  Dresden_Berlin ( Dresden Berlin ) 1 2.789451 UNLIMITED
  Passau_Oldenburg ( Passau Oldenburg ) 1 0.003723 UNLIMITED
  Freiburg_Kaiserslautern ( Freiburg Kaiserslautern ) 1 0.000524 UNLIMITED
  Bremerhaven_Berlin ( Bremerhaven Berlin ) 1 0.15469 UNLIMITED
  Schwerin_Essen ( Schwerin Essen ) 1 0.007148 UNLIMITED
  Muenster_Karlsruhe ( Muenster Karlsruhe ) 1 0.438605 UNLIMITED
  Passau_Fulda ( Passau Fulda ) 1 0.000001 UNLIMITED
  Duesseldorf_Flensburg ( Duesseldorf Flensburg ) 1 0.001581 UNLIMITED
  Bayreuth_Braunschweig ( Bayreuth Braunschweig ) 1 0.311145 UNLIMITED
  Kaiserslautern_Frankfurt ( Kaiserslautern Frankfurt ) 1 71.356533 UNLIMITED
  Giessen_Siegen ( Giessen Siegen ) 1 0.030433 UNLIMITED
  Greifswald_Darmstadt ( Greifswald Darmstadt ) 1 1.403919 UNLIMITED
  Karlsruhe_Magdeburg ( Karlsruhe Magdeburg ) 1 0.00153 UNLIMITED
  Hannover_Karlsruhe ( Hannover Karlsruhe ) 1 7.881156 UNLIMITED
  Frankfurt_Muenchen ( Frankfurt Muenchen ) 1 73.537879 UNLIMITED
  Bremen_Greifswald ( Bremen Greifswald ) 1 0.042345 UNLIMITED
  Muenchen_Kaiserslautern ( Muenchen Kaiserslautern ) 1 0.261006 UNLIMITED
  Wuerzburg_Bremerhaven ( Wuerzburg Bremerhaven ) 1 0.000186 UNLIMITED
  Kassel_Erfurt ( Kassel Erfurt ) 1 4.136309 UNLIMITED
  Bayreuth_Duesseldorf ( Bayreuth Duesseldorf ) 1 0.000284 UNLIMITED
  Saarbruecken_Siegen ( Saarbruecken Siegen ) 1 0.000445 UNLIMITED
  Darmstadt_Osnabrueck ( Darmstadt Osnabrueck ) 1 0.953225 UNLIMITED
  Essen_Kiel ( Essen Kiel ) 1 0.014684 UNLIMITED
  Muenster_Bremen ( Muenster Bremen ) 1 0.240933 UNLIMITED
  Regensburg_Schwerin ( Regensburg Schwerin ) 1 0.010446 UNLIMITED
  Siegen_Osnabrueck ( Siegen Osnabrueck ) 1 0.000976 UNLIMITED
  Berlin_Magdeburg ( Berlin Magdeburg ) 1 0.719459 UNLIMITED
  Oldenburg_Bremen ( Oldenburg Bremen ) 1 0.553862 UNLIMITED
  Mannheim_Muenster ( Mannheim Muenster ) 1 0.000895 UNLIMITED
  Bayreuth_Kassel ( Bayreuth Kassel ) 1 0.026734 UNLIMITED
  Berlin_Freiburg ( Berlin Freiburg ) 1 0.000021 UNLIMITED
  Giessen_Greifswald ( Giessen Greifswald ) 1 0.003307 UNLIMITED
  Konstanz_Koeln ( Konstanz Koeln ) 1 0.000014 UNLIMITED
  Frankfurt_Darmstadt ( Frankfurt Darmstadt ) 1 6.307663 UNLIMITED
  Kaiserslautern_Koeln ( Kaiserslautern Koeln ) 1 0.916002 UNLIMITED
  Muenchen_Passau ( Muenchen Passau ) 1 0.15694 UNLIMITED
  Duesseldorf_Kempten ( Duesseldorf Kempten ) 1 0.000008 UNLIMITED
  Magdeburg_Erfurt ( Magdeburg Erfurt ) 1 0.692188 UNLIMITED
  Freiburg_Bremen ( Freiburg Bremen ) 1 0.000034 UNLIMITED
  Ulm_Hamburg ( Ulm Hamburg ) 1 0.000036 UNLIMITED
  Freiburg_Regensburg ( Freiburg Regensburg ) 1 0.000101 UNLIMITED
  Saarbruecken_Koeln ( Saarbruecken Koeln ) 1 0.082217 UNLIMITED
  Augsburg_Duesseldorf ( Augsburg Duesseldorf ) 1 0.000657 UNLIMITED
  Chemnitz_Duesseldorf ( Chemnitz Duesseldorf ) 1 0.157813 UNLIMITED
  Berlin_Wuerzburg ( Berlin Wuerzburg ) 1 0.400637 UNLIMITED
  Regensburg_Osnabrueck ( Regensburg Osnabrueck ) 1 0.01532 UNLIMITED
  Duesseldorf_Bremen ( Duesseldorf Bremen ) 1 0.010252 UNLIMITED
  Erfurt_Hannover ( Erfurt Hannover ) 1 2.216616 UNLIMITED
  Braunschweig_Fulda ( Braunschweig Fulda ) 1 0.000607 UNLIMITED
  Nuernberg_Kaiserslautern ( Nuernberg Kaiserslautern ) 1 0.003245 UNLIMITED
  Koeln_Darmstadt ( Koeln Darmstadt ) 1 3.626771 UNLIMITED
  Erfurt_Frankfurt ( Erfurt Frankfurt ) 1 61.095471 UNLIMITED
  Essen_Darmstadt ( Essen Darmstadt ) 1 1.869654 UNLIMITED
  Muenchen_Mannheim ( Muenchen Mannheim ) 1 1.238237 UNLIMITED
  Konstanz_Nuernberg ( Konstanz Nuernberg ) 1 0.000002 UNLIMITED
  Siegen_Kassel ( Siegen Kassel ) 1 0.011596 UNLIMITED
  Oldenburg_Greifswald ( Oldenburg Greifswald ) 1 0.009533 UNLIMITED
  Darmstadt_Karlsruhe ( Darmstadt Karlsruhe ) 1 0.919528 UNLIMITED
  Essen_Regensburg ( Essen Regensburg ) 1 0.029953 UNLIMITED
  Dortmund_Oldenburg ( Dortmund Oldenburg ) 1 0.110022 UNLIMITED
  Duesseldorf_Norden ( Duesseldorf Norden ) 1 0.000119 UNLIMITED
  Greifswald_Oldenburg ( Greifswald Oldenburg ) 1 0.014187 UNLIMITED
  Karlsruhe_Leipzig ( Karlsruhe Leipzig ) 1 0.018376 UNLIMITED
  Saarbruecken_Oldenburg ( Saarbruecken Oldenburg ) 1 0.012165 UNLIMITED
  Duesseldorf_Dortmund ( Duesseldorf Dortmund ) 1 0.006515 UNLIMITED
  Augsburg_Kempten ( Augsburg Kempten ) 1 0.009568 UNLIMITED
  Hamburg_Kiel ( Hamburg Kiel ) 1 0.018852 UNLIMITED
  Trier_Aachen ( Trier Aachen ) 1 0.003636 UNLIMITED
  Osnabrueck_Braunschweig ( Osnabrueck Braunschweig ) 1 0.035358 UNLIMITED
  Braunschweig_Muenster ( Braunschweig Muenster ) 1 0.208669 UNLIMITED
  Hannover_Nuernberg ( Hannover Nuernberg ) 1 2.17843 UNLIMITED
  Berlin_Hamburg ( Berlin Hamburg ) 1 4.878363 UNLIMITED
  Muenster_Aachen ( Muenster Aachen ) 1 0.015411 UNLIMITED
  Essen_Koeln ( Essen Koeln ) 1 0.87913 UNLIMITED
  Saarbruecken_Frankfurt ( Saarbruecken Frankfurt ) 1 9.369472 UNLIMITED
  Frankfurt_Greifswald ( Frankfurt Greifswald ) 1 15.963807 UNLIMITED
  Magdeburg_Essen ( Magdeburg Essen ) 1 0.007824 UNLIMITED
  Leipzig_Norden ( Leipzig Norden ) 1 0.004032 UNLIMITED
  Frankfurt_Muenster ( Frankfurt Muenster ) 1 34.064423 UNLIMITED
  Hannover_Greifswald ( Hannover Greifswald ) 1 2.196328 UNLIMITED
  Aachen_Fulda ( Aachen Fulda ) 1 0.000035 UNLIMITED
  Saarbruecken_Kiel ( Saarbruecken Kiel ) 1 0.006347 UNLIMITED
  Regensburg_Stuttgart ( Regensburg Stuttgart ) 1 0.038334 UNLIMITED
  Hamburg_Erfurt ( Hamburg Erfurt ) 1 1.455248 UNLIMITED
  Norden_Kaiserslautern ( Norden Kaiserslautern ) 1 0.000183 UNLIMITED
  Darmstadt_Greifswald ( Darmstadt Greifswald ) 1 1.913077 UNLIMITED
  Trier_Duesseldorf ( Trier Duesseldorf ) 1 0.000021 UNLIMITED
  Giessen_Flensburg ( Giessen Flensburg ) 1 0.000094 UNLIMITED
  Essen_Wuerzburg ( Essen Wuerzburg ) 1 0.019633 UNLIMITED
  Berlin_Darmstadt ( Berlin Darmstadt ) 1 7.282871 UNLIMITED
  Koeln_Norden ( Koeln Norden ) 1 0.005171 UNLIMITED
  Muenchen_Kempten ( Muenchen Kempten ) 1 0.028936 UNLIMITED
  Fulda_Kempten ( Fulda Kempten ) 1 0.000004 UNLIMITED
  Greifswald_Bayreuth ( Greifswald Bayreuth ) 1 0.001537 UNLIMITED
  Kempten_Bremen ( Kempten Bremen ) 1 0.000205 UNLIMITED
